invoice_no,customer_id,gender,age,category,quantity,total_price,payment_method,Order Date,Month,Year,shopping_mall
I200392,C307921,Female,24,Clothing,5,1500.4,Credit Card,8-Jul-22,July,2022,Viaport Outlet
I256691,C152549,Male,24,Cosmetics,1,40.66,Cash,17-Aug-19,August,2019,Metrocity
I796162,C111832,Female,30,Food & Beverage,5,26.15,Credit Card,31-May-20,May,2020,Metrocity
I224371,C204174,Male,34,Clothing,5,1500.4,Credit Card,5-May-20,May,2020,Mall of Istanbul
I215998,C279370,Female,64,Clothing,5,1500.4,Cash,14-Apr-19,April,2019,Cevahir AVM
I338966,C907582,Female,57,Clothing,5,1500.4,Cash,29-Jul-20,July,2020,Mall of Istanbul
I293215,C166635,Male,18,Cosmetics,4,162.64,Credit Card,12-Dec-19,December,2019,Istinye Park
I149688,C276043,Female,26,Clothing,4,1200.32,Cash,15-Jun-22,June,2022,Zorlu Center
I109649,C282643,Female,19,Food & Beverage,3,15.69,Debit Card,26-Jun-19,June,2019,Emaar Square Mall
I299820,C820515,Female,22,Books,3,45.45,Cash,12-Oct-21,October,2021,Kanyon
I157775,C331761,Male,48,Clothing,1,300.08,Cash,1-Apr-19,April,2019,Kanyon
I317140,C326893,Female,56,Souvenir,5,58.65,Cash,10-Mar-21,March,2021,Istinye Park
I147334,C306395,Male,35,Clothing,2,600.16,Cash,16-Aug-19,August,2019,Viaport Outlet
I278121,C885344,Female,60,Toys,4,143.36,Debit Card,11-Aug-20,August,2020,Metrocity
I134452,C112750,Female,32,Clothing,1,300.08,Credit Card,5-Apr-22,April,2022,Forum Istanbul
I320846,C274870,Male,27,Clothing,4,1200.32,Credit Card,22-Oct-19,October,2019,Kanyon
I740676,C199864,Female,56,Clothing,2,600.16,Credit Card,2-Oct-21,October,2021,Istinye Park
I142331,C997380,Male,35,Cosmetics,4,162.64,Debit Card,2-Oct-21,October,2021,Metrocity
I222983,C132002,Female,68,Clothing,1,300.08,Credit Card,2-Oct-21,October,2021,Metropol AVM
I164665,C255058,Female,64,Technology,2,2100,Cash,13-Mar-21,March,2021,Kanyon
I133387,C271799,Female,60,Toys,4,143.36,Cash,12-Jun-22,June,2022,Forum Istanbul
I276763,C765620,Male,64,Toys,5,179.2,Debit Card,27-Apr-19,April,2019,Kanyon
I273890,C891545,Female,41,Clothing,3,900.24,Debit Card,23-May-19,May,2019,Emaar Square Mall
I774221,C519513,Male,30,Food & Beverage,5,26.15,Cash,14-Jul-20,July,2020,Metrocity
I202171,C125624,Male,40,Clothing,1,300.08,Debit Card,10-Nov-21,November,2021,Mall of Istanbul
I219780,C658980,Female,29,Clothing,2,600.16,Cash,31-Aug-21,August,2021,Kanyon
I160221,C319231,Male,25,Clothing,3,900.24,Cash,6-Jul-19,July,2019,Mall of Istanbul
I106691,C150594,Female,60,Clothing,4,1200.32,Cash,4-Mar-22,March,2022,Kanyon
I129886,C846730,Female,42,Food & Beverage,5,26.15,Cash,31-Dec-20,December,2020,Metrocity
I745394,C249877,Male,54,Food & Beverage,1,5.23,Cash,31-Jul-20,July,2020,Metropol AVM
I157056,C200826,Female,50,Clothing,5,1500.4,Cash,24-May-21,May,2021,Kanyon
I304531,C263874,Male,54,Clothing,1,300.08,Debit Card,16-Jul-22,July,2022,Metropol AVM
I762439,C663463,Female,45,Books,4,60.6,Cash,5-Feb-21,February,2021,Metrocity
I300972,C134370,Female,40,Cosmetics,1,40.66,Credit Card,29-Jul-21,July,2021,Zorlu Center
I151588,C310642,Male,24,Books,3,45.45,Credit Card,17-Mar-22,March,2022,Metrocity
I657069,C651699,Male,40,Clothing,4,1200.32,Cash,11-Feb-21,February,2021,Mall of Istanbul
I122655,C989693,Female,32,Technology,2,2100,Credit Card,13-Feb-19,February,2019,Metropol AVM
I236914,C123581,Female,28,Clothing,3,900.24,Cash,13-May-22,May,2022,Mall of Istanbul
I247471,C192446,Female,22,Toys,1,35.84,Cash,19-May-20,May,2020,Mall of Istanbul
I362306,C143343,Female,21,Clothing,1,300.08,Credit Card,27-Apr-22,April,2022,Metrocity
I215279,C223343,Female,31,Clothing,2,600.16,Credit Card,9-Sep-20,September,2020,Kanyon
I216061,C309082,Female,61,Food & Beverage,3,15.69,Credit Card,10-Mar-21,March,2021,Mall of Istanbul
I246375,C236365,Female,67,Cosmetics,2,81.32,Cash,7-Apr-19,April,2019,Kanyon
I103596,C178734,Male,52,Shoes,5,3000.85,Cash,12-Jul-20,July,2020,Kanyon
I259878,C223010,Male,44,Clothing,4,1200.32,Credit Card,12-Jul-20,July,2020,Metropol AVM
I206422,C289933,Female,48,Food & Beverage,2,10.46,Credit Card,21-Dec-21,December,2021,Kanyon
I201704,C340116,Female,53,Food & Beverage,3,15.69,Cash,4-Oct-20,October,2020,Metrocity
I168037,C816586,Male,27,Toys,4,143.36,Cash,8-Aug-20,August,2020,Mall of Istanbul
I307534,C434171,Female,28,Cosmetics,4,162.64,Cash,11-Oct-20,October,2020,Viaport Outlet
I259196,C215384,Female,43,Toys,4,143.36,Credit Card,10-Nov-21,November,2021,Cevahir AVM
I141241,C143442,Male,54,Souvenir,5,58.65,Credit Card,20-Jun-21,June,2021,Kanyon
I289973,C102926,Male,41,Food & Beverage,5,26.15,Credit Card,4-Oct-21,October,2021,Kanyon
I147203,C340063,Female,59,Cosmetics,5,203.3,Cash,24-Jun-19,June,2019,Istinye Park
I323788,C131786,Female,32,Clothing,1,300.08,Credit Card,26-Oct-19,October,2019,Metropol AVM
I285454,C194380,Female,41,Souvenir,5,58.65,Credit Card,27-Jun-21,June,2021,Metropol AVM
I288152,C269623,Female,30,Technology,3,3150,Debit Card,6-Sep-19,September,2019,Mall of Istanbul
I134126,C847171,Male,22,Clothing,1,300.08,Debit Card,30-Apr-21,April,2021,Istinye Park
I311052,C556552,Female,51,Clothing,4,1200.32,Cash,7-Jan-20,January,2020,Cevahir AVM
I176469,C876528,Female,23,Food & Beverage,2,10.46,Credit Card,11-Jan-21,January,2021,Viaport Outlet
I167993,C303493,Male,40,Toys,2,71.68,Cash,15-Nov-21,November,2021,Kanyon
I222086,C978718,Male,37,Clothing,5,1500.4,Cash,3-Jun-19,June,2019,Emaar Square Mall
I164597,C111766,Female,24,Clothing,1,300.08,Cash,17-Dec-20,December,2020,Mall of Istanbul
I184307,C175946,Male,22,Food & Beverage,1,5.23,Credit Card,7-Feb-21,February,2021,Kanyon
I289905,C160005,Female,61,Cosmetics,4,162.64,Cash,15-Mar-21,March,2021,Kanyon
I416544,C599109,Female,25,Food & Beverage,2,10.46,Credit Card,4-Aug-22,August,2022,Metrocity
I601026,C693789,Female,66,Souvenir,5,58.65,Credit Card,19-Jan-19,January,2019,Zorlu Center
I257890,C259342,Female,59,Shoes,1,600.17,Cash,23-Mar-22,March,2022,Kanyon
I260028,C208108,Male,38,Clothing,4,1200.32,Cash,7-Oct-21,October,2021,Metropol AVM
I170160,C244213,Male,34,Toys,2,71.68,Debit Card,20-Mar-19,March,2019,Metrocity
I624164,C102685,Female,26,Clothing,1,300.08,Cash,15-Dec-21,December,2021,Kanyon
I143353,C244291,Female,59,Souvenir,5,58.65,Cash,8-Jun-22,June,2022,Metrocity
I278401,C162371,Female,53,Toys,1,35.84,Debit Card,14-Dec-19,December,2019,Mall of Istanbul
I402966,C375422,Male,23,Cosmetics,4,162.64,Debit Card,10-Apr-21,April,2021,Viaport Outlet
I244241,C911768,Female,23,Clothing,5,1500.4,Credit Card,10-Mar-20,March,2020,Viaport Outlet
I179048,C270129,Female,66,Technology,3,3150,Debit Card,16-Oct-20,October,2020,Cevahir AVM
I165202,C617189,Female,56,Cosmetics,4,162.64,Cash,8-Oct-19,October,2019,Mall of Istanbul
I328321,C271029,Female,38,Souvenir,2,23.46,Credit Card,31-Dec-19,December,2019,Metropol AVM
I417106,C292356,Male,28,Clothing,3,900.24,Cash,20-Mar-20,March,2020,Cevahir AVM
I248153,C329633,Female,44,Food & Beverage,1,5.23,Cash,20-Mar-20,March,2020,Metropol AVM
I112270,C244780,Female,26,Food & Beverage,4,20.92,Cash,29-Mar-21,March,2021,Mall of Istanbul
I318831,C139568,Female,41,Cosmetics,4,162.64,Credit Card,12-Nov-21,November,2021,Viaport Outlet
I258322,C220281,Male,50,Clothing,4,1200.32,Cash,20-Jul-21,July,2021,Viaport Outlet
I334246,C311034,Female,23,Cosmetics,3,121.98,Cash,18-Jan-19,January,2019,Mall of Istanbul
I198233,C584141,Female,31,Cosmetics,4,162.64,Cash,7-Aug-19,August,2019,Metropol AVM
I310819,C221934,Male,26,Cosmetics,5,203.3,Credit Card,13-Mar-22,March,2022,Forum Istanbul
I409288,C513561,Female,56,Food & Beverage,3,15.69,Cash,17-May-22,May,2022,Viaport Outlet
I131054,C257990,Female,34,Toys,4,143.36,Cash,14-Dec-19,December,2019,Kanyon
I149521,C168348,Female,29,Clothing,2,600.16,Cash,15-Jan-20,January,2020,Kanyon
I156233,C161285,Female,20,Clothing,1,300.08,Credit Card,12-Apr-19,April,2019,Mall of Istanbul
I295784,C166191,Female,54,Cosmetics,3,121.98,Credit Card,29-Mar-20,March,2020,Forum Istanbul
I255381,C172966,Male,40,Clothing,4,1200.32,Debit Card,24-Mar-22,March,2022,Metrocity
I337719,C320928,Male,40,Cosmetics,5,203.3,Cash,21-Jul-21,July,2021,Istinye Park
I220863,C131497,Male,21,Books,4,60.6,Cash,6-Aug-19,August,2019,Mall of Istanbul
I530401,C526660,Female,32,Technology,2,2100,Cash,23-May-21,May,2021,Zorlu Center
I219555,C266961,Male,47,Clothing,3,900.24,Credit Card,23-May-21,May,2021,Metrocity
I316629,C204741,Female,41,Souvenir,3,35.19,Cash,23-May-21,May,2021,Cevahir AVM
I795251,C181619,Male,33,Cosmetics,5,203.3,Cash,23-May-21,May,2021,Kanyon
I151099,C250395,Female,67,Souvenir,2,23.46,Credit Card,23-May-21,May,2021,Mall of Istanbul
I286193,C322994,Male,37,Cosmetics,3,121.98,Cash,8-Apr-21,April,2021,Istinye Park
I399563,C250673,Female,38,Toys,1,35.84,Cash,17-Oct-21,October,2021,Metropol AVM
I229355,C192978,Male,28,Shoes,5,3000.85,Credit Card,16-Feb-22,February,2022,Kanyon
I147727,C163033,Female,38,Books,1,15.15,Credit Card,15-Jul-20,July,2020,Kanyon
I504141,C558480,Female,56,Cosmetics,1,40.66,Credit Card,22-Feb-20,February,2020,Kanyon
I246151,C287409,Male,25,Books,3,45.45,Debit Card,15-Jan-21,January,2021,Metropol AVM
I164675,C993675,Male,66,Books,5,75.75,Cash,11-Jan-21,January,2021,Kanyon
I606511,C307535,Female,37,Souvenir,2,23.46,Credit Card,8-Apr-22,April,2022,Viaport Outlet
I342816,C238961,Female,19,Food & Beverage,2,10.46,Cash,1-Oct-20,October,2020,Mall of Istanbul
I151764,C671866,Female,53,Clothing,5,1500.4,Cash,28-Oct-19,October,2019,Kanyon
I226172,C171154,Female,69,Shoes,1,600.17,Cash,28-Mar-21,March,2021,Kanyon
I737630,C848969,Male,69,Clothing,5,1500.4,Cash,31-Mar-20,March,2020,Metropol AVM
I891311,C240171,Female,31,Food & Beverage,2,10.46,Debit Card,26-Mar-22,March,2022,Metropol AVM
I127733,C665777,Male,39,Books,5,75.75,Cash,6-Nov-19,November,2019,Kanyon
I202398,C256730,Male,53,Shoes,5,3000.85,Cash,30-Dec-19,December,2019,Zorlu Center
I160585,C298229,Male,26,Cosmetics,2,81.32,Cash,1-Oct-21,October,2021,Metropol AVM
I771414,C183404,Male,63,Food & Beverage,3,15.69,Cash,9-Dec-20,December,2020,Forum Istanbul
I139520,C316398,Female,34,Clothing,5,1500.4,Cash,1-May-21,May,2021,Mall of Istanbul
I291540,C557245,Male,25,Food & Beverage,1,5.23,Debit Card,4-Aug-22,August,2022,Kanyon
I798213,C662958,Female,20,Shoes,3,1800.51,Cash,4-Aug-22,August,2022,Metropol AVM
I232338,C545065,Female,18,Clothing,4,1200.32,Debit Card,13-Nov-21,November,2021,Metropol AVM
I267713,C284679,Male,53,Cosmetics,4,162.64,Credit Card,16-Sep-20,September,2020,Kanyon
I525798,C581947,Male,46,Cosmetics,4,162.64,Cash,5-Oct-20,October,2020,Mall of Istanbul
I353272,C199311,Female,34,Clothing,1,300.08,Credit Card,6-Jan-20,January,2020,Istinye Park
I165687,C206501,Female,61,Clothing,3,900.24,Cash,21-May-21,May,2021,Metropol AVM
I169015,C726021,Female,38,Clothing,5,1500.4,Credit Card,26-Feb-20,February,2020,Mall of Istanbul
I111305,C448846,Female,67,Food & Beverage,3,15.69,Cash,19-Feb-20,February,2020,Metropol AVM
I187171,C168663,Male,33,Toys,4,143.36,Credit Card,29-Jun-21,June,2021,Istinye Park
I148276,C616106,Female,63,Clothing,4,1200.32,Debit Card,27-Mar-21,March,2021,Zorlu Center
I783231,C771066,Female,21,Clothing,5,1500.4,Debit Card,27-Oct-21,October,2021,Cevahir AVM
I313426,C101196,Female,41,Cosmetics,4,162.64,Debit Card,12-Jun-19,June,2019,Kanyon
I112291,C898405,Female,48,Food & Beverage,1,5.23,Credit Card,28-Jun-20,June,2020,Cevahir AVM
I402983,C372643,Male,27,Technology,1,1050,Debit Card,23-Mar-21,March,2021,Kanyon
I155076,C195626,Female,22,Toys,5,179.2,Credit Card,10-Feb-22,February,2022,Kanyon
I204056,C622748,Female,54,Clothing,4,1200.32,Credit Card,16-Apr-19,April,2019,Metropol AVM
I218385,C290280,Female,51,Toys,1,35.84,Cash,12-Feb-20,February,2020,Metrocity
I198698,C281268,Female,29,Clothing,1,300.08,Debit Card,2-Jan-22,January,2022,Metropol AVM
I428118,C826744,Female,44,Shoes,2,1200.34,Credit Card,7-Dec-20,December,2020,Kanyon
I204147,C252021,Female,20,Shoes,3,1800.51,Credit Card,20-Feb-20,February,2020,Kanyon
I361028,C647656,Female,59,Shoes,2,1200.34,Cash,11-Jun-20,June,2020,Metrocity
I915945,C250065,Female,23,Clothing,4,1200.32,Credit Card,8-Sep-20,September,2020,Metropol AVM
I165461,C230766,Female,25,Clothing,1,300.08,Credit Card,28-Mar-20,March,2020,Emaar Square Mall
I762381,C243515,Male,63,Shoes,1,600.17,Cash,10-Oct-20,October,2020,Kanyon
I818298,C204632,Male,21,Clothing,5,1500.4,Debit Card,21-May-22,May,2022,Kanyon
I261290,C252598,Female,56,Clothing,3,900.24,Credit Card,30-Apr-20,April,2020,Cevahir AVM
I215578,C866033,Male,39,Cosmetics,2,81.32,Credit Card,12-Dec-21,December,2021,Kanyon
I136666,C288416,Male,50,Food & Beverage,2,10.46,Credit Card,27-Oct-20,October,2020,Mall of Istanbul
I120948,C340089,Female,54,Shoes,4,2400.68,Debit Card,7-Jul-20,July,2020,Mall of Istanbul
I173679,C555040,Male,27,Technology,3,3150,Credit Card,31-Jan-20,January,2020,Viaport Outlet
I638275,C809281,Male,56,Clothing,5,1500.4,Credit Card,18-Feb-20,February,2020,Emaar Square Mall
I551237,C375325,Female,53,Clothing,4,1200.32,Cash,13-Jun-21,June,2021,Metropol AVM
I239285,C155335,Female,62,Cosmetics,3,121.98,Credit Card,6-Aug-22,August,2022,Viaport Outlet
I723062,C225051,Female,42,Clothing,4,1200.32,Credit Card,23-Nov-21,November,2021,Kanyon
I353329,C635016,Female,68,Toys,2,71.68,Credit Card,13-Oct-21,October,2021,Metrocity
I321920,C165705,Male,27,Clothing,4,1200.32,Cash,31-Aug-21,August,2021,Mall of Istanbul
I176115,C709571,Male,39,Cosmetics,4,162.64,Cash,16-Jan-20,January,2020,Viaport Outlet
I251743,C851508,Male,44,Toys,3,107.52,Debit Card,25-Apr-22,April,2022,Kanyon
I964173,C184126,Female,52,Clothing,3,900.24,Debit Card,13-Nov-21,November,2021,Emaar Square Mall
I334389,C233642,Female,19,Cosmetics,2,81.32,Cash,8-Jun-21,June,2021,Mall of Istanbul
I251855,C258410,Female,68,Cosmetics,3,121.98,Credit Card,21-Nov-20,November,2020,Cevahir AVM
I985808,C270667,Male,22,Books,5,75.75,Cash,14-Mar-19,March,2019,Emaar Square Mall
I224565,C321527,Male,61,Shoes,1,600.17,Cash,16-Aug-19,August,2019,Emaar Square Mall
I239703,C109489,Male,23,Food & Beverage,3,15.69,Credit Card,22-Apr-19,April,2019,Kanyon
I156413,C103824,Male,34,Cosmetics,5,203.3,Debit Card,2-May-22,May,2022,Metrocity
I158683,C126571,Female,33,Souvenir,2,23.46,Debit Card,11-Feb-20,February,2020,Metrocity
I983860,C169676,Female,60,Shoes,1,600.17,Credit Card,28-Mar-21,March,2021,Metropol AVM
I119809,C321889,Female,24,Food & Beverage,1,5.23,Debit Card,8-May-21,May,2021,Zorlu Center
I319942,C212128,Male,53,Cosmetics,5,203.3,Debit Card,21-Nov-19,November,2019,Mall of Istanbul
I133278,C301271,Male,22,Clothing,3,900.24,Credit Card,17-May-21,May,2021,Metrocity
I252084,C221995,Male,50,Souvenir,4,46.92,Cash,9-Jul-19,July,2019,Metrocity
I182889,C318802,Male,49,Clothing,2,600.16,Credit Card,20-May-20,May,2020,Metrocity
I106271,C263812,Male,31,Clothing,1,300.08,Debit Card,27-Aug-21,August,2021,Mall of Istanbul
I112481,C321609,Male,29,Food & Beverage,5,26.15,Cash,30-Apr-22,April,2022,Cevahir AVM
I240751,C666013,Female,52,Food & Beverage,1,5.23,Credit Card,3-Jun-20,June,2020,Kanyon
